Časovna Značka (CEST/CET);Poraba [kWh];Dinamične Cene [EUR/kWh]
2024-08-01T00:00:00+02:00;27,5325;0,115
2024-08-01T00:15:00+02:00;28,8075;0,115
2024-08-01T00:30:00+02:00;27,7575;0,115
2024-08-01T00:45:00+02:00;28,2575;0,115
2024-08-01T01:00:00+02:00;26,3325;0,11375
2024-08-01T01:15:00+02:00;26,9825;0,11375
2024-08-01T01:30:00+02:00;26,6075;0,11375
2024-08-01T01:45:00+02:00;29,5075;0,11375
2024-08-01T02:00:00+02:00;26,8575;0,091
2024-08-01T02:15:00+02:00;28,2575;0,091
2024-08-01T02:30:00+02:00;25,0575;0,091
2024-08-01T02:45:00+02:00;27,6325;0,091
2024-08-01T03:00:00+02:00;24,9075;0,08355
2024-08-01T03:15:00+02:00;29,5325;0,08355
2024-08-01T03:30:00+02:00;26,4575;0,08355
2024-08-01T03:45:00+02:00;29,2075;0,08355
2024-08-01T04:00:00+02:00;25,8075;0,08286
2024-08-01T04:15:00+02:00;28,5825;0,08286
2024-08-01T04:30:00+02:00;26,7325;0,08286
2024-08-01T04:45:00+02:00;29,5075;0,08286
2024-08-01T05:00:00+02:00;25,8825;0,11
2024-08-01T05:15:00+02:00;28,1325;0,11
2024-08-01T05:30:00+02:00;25,16;0,11
2024-08-01T05:45:00+02:00;28,2175;0,11
2024-08-01T06:00:00+02:00;23,3775;0,10904
2024-08-01T06:15:00+02:00;16,2;0,10904
2024-08-01T06:30:00+02:00;6,25;0,10904
2024-08-01T06:45:00+02:00;1,25;0,10904
2024-08-01T07:00:00+02:00;0;0,11105
2024-08-01T07:15:00+02:00;0;0,11105
2024-08-01T07:30:00+02:00;0;0,11105
2024-08-01T07:45:00+02:00;0;0,11105
2024-08-01T08:00:00+02:00;0;0,10595
2024-08-01T08:15:00+02:00;0;0,10595
2024-08-01T08:30:00+02:00;0;0,10595
2024-08-01T08:45:00+02:00;0;0,10595
2024-08-01T09:00:00+02:00;0;0,0901
2024-08-01T09:15:00+02:00;0;0,0901
2024-08-01T09:30:00+02:00;0;0,0901
2024-08-01T09:45:00+02:00;0;0,0901
2024-08-01T10:00:00+02:00;0;0,07695
2024-08-01T10:15:00+02:00;0;0,07695
2024-08-01T10:30:00+02:00;0;0,07695
2024-08-01T10:45:00+02:00;0;0,07695
2024-08-01T11:00:00+02:00;0;0,06764
2024-08-01T11:15:00+02:00;0;0,06764
2024-08-01T11:30:00+02:00;0;0,06764
2024-08-01T11:45:00+02:00;0;0,06764
2024-08-01T12:00:00+02:00;0;0,06403
2024-08-01T12:15:00+02:00;0;0,06403
2024-08-01T12:30:00+02:00;0;0,06403
2024-08-01T12:45:00+02:00;0;0,06403
2024-08-01T13:00:00+02:00;0;0,06181
2024-08-01T13:15:00+02:00;0;0,06181
2024-08-01T13:30:00+02:00;0;0,06181
2024-08-01T13:45:00+02:00;0;0,06181
2024-08-01T14:00:00+02:00;0;0,06708
2024-08-01T14:15:00+02:00;0;0,06708
2024-08-01T14:30:00+02:00;0;0,06708
2024-08-01T14:45:00+02:00;0;0,06708
2024-08-01T15:00:00+02:00;0;0,092
2024-08-01T15:15:00+02:00;0;0,092
2024-08-01T15:30:00+02:00;0;0,092
2024-08-01T15:45:00+02:00;0;0,092
2024-08-01T16:00:00+02:00;0;0,09269
2024-08-01T16:15:00+02:00;0;0,09269
2024-08-01T16:30:00+02:00;0,325;0,09269
2024-08-01T16:45:00+02:00;0,05;0,09269
2024-08-01T17:00:00+02:00;0;0,09609
2024-08-01T17:15:00+02:00;0;0,09609
2024-08-01T17:30:00+02:00;0;0,09609
2024-08-01T17:45:00+02:00;0;0,09609
2024-08-01T18:00:00+02:00;2,05;0,1261
2024-08-01T18:15:00+02:00;10,875;0,1261
2024-08-01T18:30:00+02:00;0;0,1261
2024-08-01T18:45:00+02:00;6,825;0,1261
2024-08-01T19:00:00+02:00;7,25;0,23604
2024-08-01T19:15:00+02:00;16,25;0,23604
2024-08-01T19:30:00+02:00;18,525;0,23604
2024-08-01T19:45:00+02:00;23,05;0,23604
2024-08-01T20:00:00+02:00;27,16;0,2992
2024-08-01T20:15:00+02:00;29,395;0,2992
2024-08-01T20:30:00+02:00;29,3325;0,2992
2024-08-01T20:45:00+02:00;29,7575;0,2992
2024-08-01T21:00:00+02:00;27,2575;0,14806
2024-08-01T21:15:00+02:00;28,7825;0,14806
2024-08-01T21:30:00+02:00;28,5075;0,14806
2024-08-01T21:45:00+02:00;29,0075;0,14806
2024-08-01T22:00:00+02:00;24,9825;0,11708
2024-08-01T22:15:00+02:00;26,5325;0,11708
2024-08-01T22:30:00+02:00;23,8825;0,11708
2024-08-01T22:45:00+02:00;27,4825;0,11708
2024-08-01T23:00:00+02:00;24,7325;0,1135
2024-08-01T23:15:00+02:00;27,4825;0,1135
2024-08-01T23:30:00+02:00;23,0575;0,1135
2024-08-01T23:45:00+02:00;26,9325;0,1135
2024-08-02T00:00:00+02:00;22,1575;0,09393
2024-08-02T00:15:00+02:00;24,0825;0,09393
2024-08-02T00:30:00+02:00;23,6325;0,09393
2024-08-02T00:45:00+02:00;25,1075;0,09393
2024-08-02T01:00:00+02:00;22,8825;0,08714
2024-08-02T01:15:00+02:00;25,1575;0,08714
2024-08-02T01:30:00+02:00;23,2575;0,08714
2024-08-02T01:45:00+02:00;26,9825;0,08714
2024-08-02T02:00:00+02:00;27,1575;0,08835
2024-08-02T02:15:00+02:00;24,9075;0,08835
2024-08-02T02:30:00+02:00;22,8575;0,08835
2024-08-02T02:45:00+02:00;26,6325;0,08835
2024-08-02T03:00:00+02:00;22,5075;0,08824
2024-08-02T03:15:00+02:00;26,8825;0,08824
2024-08-02T03:30:00+02:00;25,4825;0,08824
2024-08-02T03:45:00+02:00;26,6075;0,08824
2024-08-02T04:00:00+02:00;23,9325;0,089
2024-08-02T04:15:00+02:00;25,8575;0,089
2024-08-02T04:30:00+02:00;23,6825;0,089
2024-08-02T04:45:00+02:00;25,6325;0,089
2024-08-02T05:00:00+02:00;24,0825;0,095
2024-08-02T05:15:00+02:00;26,3575;0,095
2024-08-02T05:30:00+02:00;23,085;0,095
2024-08-02T05:45:00+02:00;25,3175;0,095
2024-08-02T06:00:00+02:00;21,1575;0,11722
2024-08-02T06:15:00+02:00;16,9;0,11722
2024-08-02T06:30:00+02:00;8,05;0,11722
2024-08-02T06:45:00+02:00;5;0,11722
2024-08-02T07:00:00+02:00;0,05;0,1187
2024-08-02T07:15:00+02:00;0;0,1187
2024-08-02T07:30:00+02:00;0;0,1187
2024-08-02T07:45:00+02:00;0;0,1187
2024-08-02T08:00:00+02:00;0;0,11244
2024-08-02T08:15:00+02:00;0,125;0,11244
2024-08-02T08:30:00+02:00;0;0,11244
2024-08-02T08:45:00+02:00;0;0,11244
2024-08-02T09:00:00+02:00;0;0,10442
2024-08-02T09:15:00+02:00;0;0,10442
2024-08-02T09:30:00+02:00;0;0,10442
2024-08-02T09:45:00+02:00;0;0,10442
2024-08-02T10:00:00+02:00;0;0,08638
2024-08-02T10:15:00+02:00;0;0,08638
2024-08-02T10:30:00+02:00;0;0,08638
2024-08-02T10:45:00+02:00;0;0,08638
2024-08-02T11:00:00+02:00;0;0,07436
2024-08-02T11:15:00+02:00;0;0,07436
